chapter_id,book_id,book_title,chapter_title,level,paragraphs,subcategory
CH_B33E29808_006,BOOK_B33E29808,傷寒舌鑑,紅色舌總論,2,53,傷寒
CH_B33E29808_007,BOOK_B33E29808,傷寒舌鑑,紫色舌總論,2,27,傷寒
CH_B33E29808_008,BOOK_B33E29808,傷寒舌鑑,霉醬色苔舌總論,2,7,傷寒
CH_B33E29808_009,BOOK_B33E29808,傷寒舌鑑,藍色苔舌總論,2,5,傷寒
CH_B33E29808_010,BOOK_B33E29808,傷寒舌鑑,妊娠傷寒舌總論,2,17,傷寒
CH_B1C314366_001,BOOK_B1C314366,傷寒補例,敘,2,4,傷寒
CH_B1C314366_002,BOOK_B1C314366,傷寒補例,傷寒論難讀並宜補大旨,3,2,傷寒
CH_B1C314366_003,BOOK_B1C314366,傷寒補例,三陽三陰分經名義,3,9,傷寒
CH_B1C314366_004,BOOK_B1C314366,傷寒補例,傷寒重病多是下焦伏寒,3,11,傷寒
CH_B1C314366_005,BOOK_B1C314366,傷寒補例,伏寒觸發與傷寒時溫脈證並病機異同,3,9,傷寒
CH_B1C314366_006,BOOK_B1C314366,傷寒補例,即病伏氣直中傳經四證異同,3,6,傷寒
CH_B1C314366_007,BOOK_B1C314366,傷寒補例,晚發是傷寒正病,3,9,傷寒
CH_B1C314366_008,BOOK_B1C314366,傷寒補例,兩感有三,3,6,傷寒
CH_B1C314366_009,BOOK_B1C314366,傷寒補例,水氣凌心即是三焦傷傷寒雜病皆有之,3,14,傷寒
CH_B1C314366_010,BOOK_B1C314366,傷寒補例,無端暴喘即是寒入命門傷寒雜病皆有之,3,8,傷寒
CH_B1C314366_011,BOOK_B1C314366,傷寒補例,傷寒論讀法十四條,3,25,傷寒
CH_B1C314366_012,BOOK_B1C314366,傷寒補例,南北傷寒溫病異治,3,3,傷寒
CH_B1C314366_013,BOOK_B1C314366,傷寒補例,附治瘧宜破血發汗,3,4,傷寒
CH_B1C314366_014,BOOK_B1C314366,傷寒補例,附治痢宜和營衛養筋膜,3,5,傷寒
CH_B1C314366_015,BOOK_B1C314366,傷寒補例,男婦傷寒溫病舌黑異治,3,4,傷寒
CH_B1C314366_016,BOOK_B1C314366,傷寒補例,附讀傷寒論雜記四篇,3,21,傷寒
CH_B1C314366_017,BOOK_B1C314366,傷寒補例,牢脈病機,3,3,傷寒
CH_B1C314366_018,BOOK_B1C314366,傷寒補例,發汗別法,3,1,傷寒
CH_SHL_QJYF_001,BOOK_SHL_QJYF,傷寒論(千金翼方),太陽病用麻黃湯法第二,2,22,傷寒
CH_SHL_QJYF_002,BOOK_SHL_QJYF,傷寒論(千金翼方),太陽病用青龍湯法第三,2,8,傷寒
CH_SHL_QJYF_003,BOOK_SHL_QJYF,傷寒論(千金翼方),太陽病用柴胡湯法第四,2,19,傷寒
CH_SHL_QJYF_004,BOOK_SHL_QJYF,傷寒論(千金翼方),太陽病用承氣湯法第五,2,16,傷寒
CH_SHL_QJYF_005,BOOK_SHL_QJYF,傷寒論(千金翼方),太陽病用陷胸湯法第六,2,45,傷寒
CH_SHL_QJYF_006,BOOK_SHL_QJYF,傷寒論(千金翼方),太陽病雜療法第七,2,40,傷寒
CH_SHL_QJYF_007,BOOK_SHL_QJYF,傷寒論(千金翼方),陽明病狀第八,2,85,傷寒
CH_SHL_QJYF_008,BOOK_SHL_QJYF,傷寒論(千金翼方),少陽病狀第九,2,10,傷寒
CH_SHL_QJYF_009,BOOK_SHL_QJYF,傷寒論(千金翼方),太陰病狀第一,2,11,傷寒
CH_SHL_QJYF_010,BOOK_SHL_QJYF,傷寒論(千金翼方),少陰病狀第二,2,60,傷寒
CH_SHL_QJYF_011,BOOK_SHL_QJYF,傷寒論(千金翼方),厥陰病狀第三,2,63,傷寒
CH_SHL_QJYF_012,BOOK_SHL_QJYF,傷寒論(千金翼方),傷寒宜忌第四,2,1,傷寒
CH_SHL_QJYF_013,BOOK_SHL_QJYF,傷寒論(千金翼方),忌發汗第一,3,14,傷寒
CH_SHL_QJYF_014,BOOK_SHL_QJYF,傷寒論(千金翼方),宜發汗第二,3,13,傷寒
CH_SHL_QJYF_015,BOOK_SHL_QJYF,傷寒論(千金翼方),忌吐第三,3,3,傷寒
CH_SHL_QJYF_016,BOOK_SHL_QJYF,傷寒論(千金翼方),宜吐第四,3,7,傷寒
CH_SHL_QJYF_017,BOOK_SHL_QJYF,傷寒論(千金翼方),忌下第五,3,13,傷寒
CH_SHL_QJYF_018,BOOK_SHL_QJYF,傷寒論(千金翼方),宜下第六,3,18,傷寒
CH_SHL_QJYF_019,BOOK_SHL_QJYF,傷寒論(千金翼方),宜溫第七,3,10,傷寒
CH_SHL_QJYF_020,BOOK_SHL_QJYF,傷寒論(千金翼方),忌火第八,3,6,傷寒
CH_SHL_QJYF_021,BOOK_SHL_QJYF,傷寒論(千金翼方),宜火第九,3,1,傷寒
CH_SHL_QJYF_022,BOOK_SHL_QJYF,傷寒論(千金翼方),忌灸第十,3,3,傷寒
CH_SHL_QJYF_023,BOOK_SHL_QJYF,傷寒論(千金翼方),宜灸第十一,3,6,傷寒
CH_SHL_QJYF_024,BOOK_SHL_QJYF,傷寒論(千金翼方),忌刺第十二,3,2,傷寒
CH_SHL_QJYF_025,BOOK_SHL_QJYF,傷寒論(千金翼方),宜刺第十三,3,9,傷寒
CH_SHL_QJYF_026,BOOK_SHL_QJYF,傷寒論(千金翼方),忌水第十四,3,3,傷寒
CH_SHL_QJYF_027,BOOK_SHL_QJYF,傷寒論(千金翼方),宜水第十五,3,3,傷寒
CH_SHL_QJYF_028,BOOK_SHL_QJYF,傷寒論(千金翼方),發汗吐下後病狀第五,2,48,傷寒
CH_SHL_QJYF_029,BOOK_SHL_QJYF,傷寒論(千金翼方),霍亂病狀第六,2,15,傷寒
CH_SHL_QJYF_030,BOOK_SHL_QJYF,傷寒論(千金翼方),陰易病已後勞復第七,2,11,傷寒
CH_SHL_SONGBEN_001,BOOK_SHL_SONGBEN,傷寒論(宋本),林億校序,2,3,傷寒
CH_SHL_SONGBEN_002,BOOK_SHL_SONGBEN,傷寒論(宋本),張仲景原序,2,5,傷寒
CH_SHL_SONGBEN_003,BOOK_SHL_SONGBEN,傷寒論(宋本),辨脈法第一,3,42,傷寒
CH_SHL_SONGBEN_004,BOOK_SHL_SONGBEN,傷寒論(宋本),平脈法第二,3,47,傷寒
CH_SHL_SONGBEN_005,BOOK_SHL_SONGBEN,傷寒論(宋本),傷寒例第三,3,40,傷寒
CH_SHL_SONGBEN_006,BOOK_SHL_SONGBEN,傷寒論(宋本),辨痙濕暍脈證第四,3,16,傷寒
CH_SHL_SONGBEN_007,BOOK_SHL_SONGBEN,傷寒論(宋本),辨太陽病脈證並治上第五,3,72,傷寒
CH_SHL_SONGBEN_008,BOOK_SHL_SONGBEN,傷寒論(宋本),辨太陽病脈證並治中第六,3,204,傷寒
CH_SHL_SONGBEN_009,BOOK_SHL_SONGBEN,傷寒論(宋本),辨太陽病脈證並治下第七,3,127,傷寒
CH_SHL_SONGBEN_010,BOOK_SHL_SONGBEN,傷寒論(宋本),辨陽明病脈證並治第八,3,114,傷寒
CH_SHL_SONGBEN_011,BOOK_SHL_SONGBEN,傷寒論(宋本),辨少陽病脈證並治第九,3,10,傷寒
CH_SHL_SONGBEN_012,BOOK_SHL_SONGBEN,傷寒論(宋本),辨太陰病脈證並治第十,3,14,傷寒
CH_SHL_SONGBEN_013,BOOK_SHL_SONGBEN,傷寒論(宋本),辨少陰病脈證並治第十一,3,90,傷寒
CH_SHL_SONGBEN_014,BOOK_SHL_SONGBEN,傷寒論(宋本),辨厥陰病脈證並治第十二,3,74,傷寒
CH_SHL_SONGBEN_015,BOOK_SHL_SONGBEN,傷寒論(宋本),辨霍亂病脈證並治第十三,3,19,傷寒
CH_SHL_SONGBEN_016,BOOK_SHL_SONGBEN,傷寒論(宋本),辨陰陽易差後勞復病脈證並治第十四,3,19,傷寒
CH_SHL_SONGBEN_017,BOOK_SHL_SONGBEN,傷寒論(宋本),辨不可發汗病脈證並治第十五,3,14,傷寒
CH_SHL_SONGBEN_018,BOOK_SHL_SONGBEN,傷寒論(宋本),辨可發汗脈證並治第十六,3,6,傷寒
CH_SHL_SONGBEN_019,BOOK_SHL_SONGBEN,傷寒論(宋本),辨發汗後病脈證並治第十七,3,2,傷寒
CH_SHL_SONGBEN_020,BOOK_SHL_SONGBEN,傷寒論(宋本),辨不可吐第十八,3,1,傷寒
CH_SHL_SONGBEN_021,BOOK_SHL_SONGBEN,傷寒論(宋本),辨可吐第十九,3,5,傷寒
CH_SHL_SONGBEN_022,BOOK_SHL_SONGBEN,傷寒論(宋本),辨不可下病脈證並治第二十,3,23,傷寒
CH_SHL_SONGBEN_023,BOOK_SHL_SONGBEN,傷寒論(宋本),辨可下病脈證並治第二十一,3,11,傷寒
CH_SHL_SONGBEN_024,BOOK_SHL_SONGBEN,傷寒論(宋本),辨發汗吐下後脈證並治第二十二,3,66,傷寒
CH_SHL_TIAOWEN_001,BOOK_SHL_TIAOWEN,傷寒論,辨太陽病脈證並治上,2,72,傷寒
CH_SHL_TIAOWEN_002,BOOK_SHL_TIAOWEN,傷寒論,辨太陽病脈證並治中,2,204,傷寒
CH_SHL_TIAOWEN_003,BOOK_SHL_TIAOWEN,傷寒論,辨太陽病脈證並治下,2,127,傷寒
CH_SHL_TIAOWEN_004,BOOK_SHL_TIAOWEN,傷寒論,辨陽明病脈證並治,2,114,傷寒
CH_SHL_TIAOWEN_005,BOOK_SHL_TIAOWEN,傷寒論,辨少陽病脈證並治,2,10,傷寒
CH_SHL_TIAOWEN_006,BOOK_SHL_TIAOWEN,傷寒論,辨太陰病脈證並治,2,14,傷寒
CH_SHL_TIAOWEN_007,BOOK_SHL_TIAOWEN,傷寒論,辨少陰病脈證並治,2,90,傷寒
CH_SHL_TIAOWEN_008,BOOK_SHL_TIAOWEN,傷寒論,辨厥陰病脈證並治,2,74,傷寒
CH_SHL_TIAOWEN_009,BOOK_SHL_TIAOWEN,傷寒論,辨霍亂病脈證並治,2,19,傷寒
